Pokemon,Pokeball,HP%,Status,Capture_Success,Capture_Probability,Noise,Catch_Rate,Level,Weight,Type
caterpie,pokeball,100,NONE,0,0.3321,0.0,255,50,6.4,"BUG, NONE"
caterpie,pokeball,100,NONE,0,0.3321,0.0,255,50,6.4,"BUG, NONE"
caterpie,pokeball,100,NONE,0,0.3321,0.0,255,50,6.4,"BUG, NONE"
caterpie,pokeball,100,NONE,0,0.3321,0.0,255,50,6.4,"BUG, NONE"
caterpie,pokeball,100,NONE,1,0.3321,0.0,255,50,6.4,"BUG, NONE"
caterpie,pokeball,100,NONE,1,0.3321,0.0,255,50,6.4,"BUG, NONE"
caterpie,pokeball,100,NONE,0,0.3321,0.0,255,50,6.4,"BUG, NONE"
caterpie,pokeball,100,NONE,0,0.3321,0.0,255,50,6.4,"BUG, NONE"
caterpie,pokeball,100,NONE,0,0.3321,0.0,255,50,6.4,"BUG, NONE"
caterpie,pokeball,100,NONE,0,0.3321,0.0,255,50,6.4,"BUG, NONE"
caterpie,pokeball,100,NONE,1,0.32658600758044337,0.05,255,50,6.4,"BUG, NONE"
caterpie,pokeball,100,NONE,0,0.3323304646218695,0.05,255,50,6.4,"BUG, NONE"
caterpie,pokeball,100,NONE,0,0.3179570938322658,0.05,255,50,6.4,"BUG, NONE"
caterpie,pokeball,100,NONE,0,0.32023390816901615,0.05,255,50,6.4,"BUG, NONE"
caterpie,pokeball,100,NONE,1,0.34701705367680113,0.05,255,50,6.4,"BUG, NONE"
caterpie,pokeball,100,NONE,0,0.34483926936280196,0.05,255,50,6.4,"BUG, NONE"
caterpie,pokeball,100,NONE,0,0.3292374040944445,0.05,255,50,6.4,"BUG, NONE"
caterpie,pokeball,100,NONE,1,0.32974285255558766,0.05,255,50,6.4,"BUG, NONE"
caterpie,pokeball,100,NONE,0,0.34411025648464466,0.05,255,50,6.4,"BUG, NONE"
caterpie,pokeball,100,NONE,1,0.3390274846688172,0.05,255,50,6.4,"BUG, NONE"
caterpie,pokeball,100,NONE,0,0.31342396600660455,0.1,255,50,6.4,"BUG, NONE"
caterpie,pokeball,100,NONE,1,0.3661815928589323,0.1,255,50,6.4,"BUG, NONE"
caterpie,pokeball,100,NONE,0,0.3427702501870106,0.1,255,50,6.4,"BUG, NONE"
caterpie,pokeball,100,NONE,0,0.35010614218206354,0.1,255,50,6.4,"BUG, NONE"
caterpie,pokeball,100,NONE,0,0.3019568087309004,0.1,255,50,6.4,"BUG, NONE"
caterpie,pokeball,100,NONE,1,0.3256274062631506,0.1,255,50,6.4,"BUG, NONE"
caterpie,pokeball,100,NONE,1,0.349153126587249,0.1,255,50,6.4,"BUG, NONE"
caterpie,pokeball,100,NONE,0,0.33283152615101996,0.1,255,50,6.4,"BUG, NONE"
caterpie,pokeball,100,NONE,0,0.3110995779169433,0.1,255,50,6.4,"BUG, NONE"
caterpie,pokeball,100,NONE,0,0.2963961777489142,0.1,255,50,6.4,"BUG, NONE"
caterpie,pokeball,100,NONE,0,0.308940208441532,0.15,255,50,6.4,"BUG, NONE"
caterpie,pokeball,100,NONE,0,0.27466465083105196,0.15,255,50,6.4,"BUG, NONE"
